name,desc,link,category
MidJourney V6.1,« Powerful image generator based on text description (Discord + Web) »,https://www.aixploria.com/out/MidJourneyV6.1,Image Generators
Adobe Firefly 3,"« Powerful AI tools for easy image editing, generation and enhancement: image generator, generative fill, generative recolor, etc. »",https://www.aixploria.com/out/AdobeFirefly3,Image Generators
Stable Diffusion 3.5,« A free opensource image generator with the ability to use templates (local installation) »,https://www.aixploria.com/out/StableDiffusion3.5,Image Generators
Leonardo AI,"« A complete design platform that generates professional images, 3D textures and designs. Create assets for video games, fashion, architecture and more with intuitive tools like AI Canvas »",https://www.aixploria.com/out/LeonardoAI,Image Generators
Ideogram 2.0,"« An image generator capable of creating impressive illustrations and integrating text. Ideal for creating logos, storyboards, advertising banners, etc. »",https://www.aixploria.com/out/Ideogram2.0,Image Generators
FLUX.1,"« Generate photorealistic images from text with an open-source model available in 3 versions: Pro (API), Dev (non-commercial) and Schnell (personal use) »",https://www.aixploria.com/out/FLUX.1,Image Generators
Recraft V3,"« A high-precision AI image generator. Create designs with positionable text, refine styles, generate vector images and much more »",https://www.aixploria.com/out/RecraftV3,Image Generators
Freepik,"« An ultra-realistic text-to-image generator with a host of new features: real-time editing, image generation with infinite scrolling, etc. »",https://www.aixploria.com/out/Freepik,Image Generators
DALL·E 3,« An image generator that integrates with the ChatGPT interface. Easily manipulate and create your own images using prompts. »,https://www.aixploria.com/out/DALL%C2%B7E3,Image Generators
Krea.ai,« Generate images or videos using a design-driven AI. This AI is able to produce an illustration from a simple drawing »,https://www.aixploria.com/out/Krea.ai,Image Generators
Bing Image Creator,« Bing's new AI image generator that creates illustrations from text. Now powered by Dall-E 3 »,https://www.aixploria.com/out/BingImageCreator,Image Generators
Adobe Illustrator,"« Produce striking vector illustrations with Adobe's popular software, now with AI technology. Create logos, icons, 3D effects and all kinds of designs »",https://www.aixploria.com/out/AdobeIllustrator,Image Generators
Illustroke AI,« An AI that generates stunning vector illustrations from text »,https://www.aixploria.com/out/IllustrokeAI,Image Generators
Snowpixel,"« An AI that turns your ideas into works of art. Generate images, animations, pixel art, etc. »",https://www.aixploria.com/out/Snowpixel,Image Generators
Sqriblr,« An article generator that will find the most relevant images to illustrate your writing (with ChatGPT) »,https://www.aixploria.com/out/Sqriblr,Image Generators
EVE AI,« Generation of artistic content based on templates to be integrated into your projects »,https://www.aixploria.com/out/EVEAI,Image Generators
Maze AI,« An AI-based image generator that runs on the Discord platform and allows you to share your art galleries »,https://www.aixploria.com/out/MazeAI,Image Generators
IconifyAI,« Professional quality web and app icon generator in just a few seconds »,https://www.aixploria.com/out/IconifyAI,Image Generators
